coel_id;coel_codi;coel_esta;audi_freg;audi_fact;user_id;elem_id
1;P-1A;A;now();now();null;1
2;P-1A-I;A;now();now();null;1
3;P-1B;A;now();now();null;1
4;P-1B-I;A;now();now();null;1
5;P-2A;A;now();now();null;1
6;P-2B;A;now();now();null;1
7;P-4A;A;now();now();null;1
8;P-4B;A;now();now();null;1
9;P-4B-D;A;now();now();null;1
10;P-5-1;A;now();now();null;1
11;P-14-A;A;now();now();null;1
12;P-14-B;A;now();now();null;1
13;P-15;A;now();now();null;1
14;P-18;A;now();now();null;1
15;P-22;A;now();now();null;1
16;P-33;A;now();now();null;1
17;P-48;A;now();now();null;1
18;P-49;A;now();now();null;1
19;P-54;A;now();now();null;1
20;P-56;A;now();now();null;1
21;R-1;A;now();now();null;1
22;R-2;A;now();now();null;1
23;R-4;A;now();now();null;1
24;R-5;A;now();now();null;1
25;R-7;A;now();now();null;1
26;R-10;A;now();now();null;1
27;R-15;A;now();now();null;1
28;R-16;A;now();now();null;1
29;R-30;A;now();now();null;1
30;R-30-4;A;now();now();null;1
31;I-2;A;now();now();null;1
32;I-5;A;now();now();null;1
33;I-18;A;now();now();null;1
34;I-20;A;now();now();null;1
35;I-23;A;now();now();null;1
36;I-34;A;now();now();null;1
37;I8;A;now();now();null;2
