tram_coel_id;tram_id;elem_id;coel_id;tram_coel_kini;tram_coel_kfin;tram_coel_alto;tram_coel_lado;tram_coel_long;tram_coel_anch;tram_coel_cant;tram_coel_stot;tram_coel_obsv;tram_coel_esta;audi_freg;audi_fact;user_id
1;1;1;32;21.76;22.16;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
2;1;1;22;22.76;23.16;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
3;1;1;13;64.46;64.86;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
4;1;1;33;94.76;95.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
5;1;1;1;135.26;135.66;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
6;1;1;33;237.76;238.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
7;1;1;33;472.76;473.16;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
8;1;1;16;992.76;993.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
9;1;1;6;1068.76;1069.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
10;1;1;16;1142.76;1143.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
11;1;1;16;1192.76;1193.16;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
12;1;1;5;1392.76;1393.16;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
13;1;1;33;1532.76;1533.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
14;1;1;17;2102.76;2103.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
15;1;1;6;2121.76;2122.16;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
16;1;1;16;2169.26;2169.66;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
17;1;1;34;2239.86;2240.26;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
18;1;1;34;2286.06;2286.46;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
19;1;1;16;2407.76;2408.16;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
20;1;1;29;2468.06;2468.46;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
21;1;1;33;2532.76;2533.16;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
22;1;1;36;2809.96;2810.36;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
23;1;1;16;2940;2940.4;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
24;1;1;16;3180;3180.4;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
25;1;1;16;3280;3280.4;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
26;1;1;20;3312.76;3313.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
27;1;1;16;3350;3350.4;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
28;1;1;29;3462.76;3463.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
29;1;1;33;3542.76;3543.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
30;1;1;33;3569.36;3569.76;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
31;1;1;16;3639.76;3640.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
32;1;1;15;3698.06;3698.46;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
33;1;1;16;3742.76;3743.16;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
34;1;1;16;3752.76;3753.16;NULL;D;0.4;NULL;1;1;;A;now();now();NULL
35;1;1;27;3792.76;3793.16;NULL;I;0.4;NULL;1;1;;A;now();now();NULL
