cont_tram_acti_id;cont_tram_id; acti_id;cont_tram_acti_esta;audi_freg;audi_fact;user_id
1;1;1;A;now();now();NULL
2;1;2;A;now();now();NULL
3;1;4;A;now();now();NULL
4;1;5;A;now();now();NULL
5;1;6;A;now();now();NULL
6;1;8;A;now();now();NULL
7;1;9;A;now();now();NULL
8;1;10;A;now();now();NULL
9;1;13;A;now();now();NULL
10;1;14;A;now();now();NULL
11;1;16;A;now();now();NULL
12;1;17;A;now();now();NULL
13;1;21;A;now();now();NULL
14;1;22;A;now();now();NULL
15;1;24;A;now();now();NULL
16;1;26;A;now();now();NULL
17;1;29;A;now();now();NULL
18;1;32;A;now();now();NULL
19;1;33;A;now();now();NULL
20;1;35;A;now();now();NULL
21;1;41;A;now();now();NULL
22;1;42;A;now();now();NULL
23;1;43;A;now();now();NULL
24;1;44;A;now();now();NULL
25;1;45;A;now();now();NULL
26;2;1;A;now();now();NULL
27;2;2;A;now();now();NULL
28;2;4;A;now();now();NULL
29;2;5;A;now();now();NULL
30;2;7;A;now();now();NULL
31;2;6;A;now();now();NULL
32;2;8;A;now();now();NULL
33;2;9;A;now();now();NULL
34;2;10;A;now();now();NULL
35;2;11;A;now();now();NULL
36;2;14;A;now();now();NULL
37;2;15;A;now();now();NULL
38;2;16;A;now();now();NULL
39;2;17;A;now();now();NULL
40;2;18;A;now();now();NULL
41;2;19;A;now();now();NULL
42;2;21;A;now();now();NULL
43;2;22;A;now();now();NULL
44;2;24;A;now();now();NULL
45;2;26;A;now();now();NULL
46;2;29;A;now();now();NULL
47;2;41;A;now();now();NULL
48;2;42;A;now();now();NULL
49;2;43;A;now();now();NULL
50;2;44;A;now();now();NULL
51;2;45;A;now();now();NULL
52;2;46;A;now();now();NULL
53;2;47;A;now();now();NULL
54;3;1;A;now();now();NULL
55;3;2;A;now();now();NULL
56;3;3;A;now();now();NULL
57;3;4;A;now();now();NULL
58;3;7;A;now();now();NULL
59;3;8;A;now();now();NULL
60;3;9;A;now();now();NULL
61;3;10;A;now();now();NULL
62;3;11;A;now();now();NULL
63;3;12;A;now();now();NULL
64;3;14;A;now();now();NULL
65;3;15;A;now();now();NULL
66;3;16;A;now();now();NULL
67;3;17;A;now();now();NULL
68;3;18;A;now();now();NULL
69;3;19;A;now();now();NULL
70;3;20;A;now();now();NULL
71;3;21;A;now();now();NULL
72;3;22;A;now();now();NULL
73;3;23;A;now();now();NULL
74;3;24;A;now();now();NULL
75;3;25;A;now();now();NULL
76;3;26;A;now();now();NULL
77;3;27;A;now();now();NULL
78;3;28;A;now();now();NULL
79;3;29;A;now();now();NULL
80;3;30;A;now();now();NULL
81;3;31;A;now();now();NULL
82;3;40;A;now();now();NULL
83;3;41;A;now();now();NULL
84;3;42;A;now();now();NULL
85;3;43;A;now();now();NULL
86;3;44;A;now();now();NULL
87;3;45;A;now();now();NULL
88;4;1;A;now();now();NULL
89;4;2;A;now();now();NULL
90;4;3;A;now();now();NULL
91;4;4;A;now();now();NULL
92;4;5;A;now();now();NULL
93;4;6;A;now();now();NULL
94;4;7;A;now();now();NULL
95;4;8;A;now();now();NULL
96;4;9;A;now();now();NULL
97;4;10;A;now();now();NULL
98;4;11;A;now();now();NULL
99;4;12;A;now();now();NULL
100;4;14;A;now();now();NULL
101;4;15;A;now();now();NULL
102;4;16;A;now();now();NULL
103;4;17;A;now();now();NULL
104;4;18;A;now();now();NULL
105;4;19;A;now();now();NULL
106;4;20;A;now();now();NULL
